,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
1503,tha,1997,construction,2.4124,2.1462,1.774,13.1509,1.4655,2.0482,4.2094,4.4789,1.8962,2.4157,6.9213,2.3643,0.5908,1.6368,7.406,16.2006,3.9743,0.2043,9129.1,14.6393,10.7037,0.6744,-0.8802,1.0068,4.9399,3.6385,98.26,construction,0.6708,0.594,0.9586,7.2317,0.0727,1.6099,1.4039,2.4436,1.9353,1.3291,5.4225,2.5527,0.6292,0.7645,0.7008,14.1747,1.9444,0.0065,23.2267,1.1767,6.2905,0.1329,0.0492,0.2208,3.5745,0.0729,1.3951,0.382823,0.000843,0.000972,0.001754,0.00099
1504,tha,1997,distribution,129.974,47.9968,16.1633,1004.39,98.9029,187.24,747.26,312.313,99.3947,64.5638,588.97,42.8834,28.0496,98.9196,673.049,1678.72,613.087,2.1274,1583.33,12360.5,533.032,7.3823,-7.7015,13.2315,140.419,759.293,573.092,distribution,36.1409,13.2833,8.7346,552.311,4.9029,147.177,249.228,170.389,101.443,35.5214,461.43,46.3005,29.8701,46.2062,63.6844,1468.8,299.946,0.0675,4.0284,993.54,313.261,1.455,0.4301,2.9013,101.606,15.2065,8.1365,0.737568,0.018494,0.041116,0.112629,0.026642
1505,tha,1997,transport,20.7544,22.3861,9.501,163.626,36.5848,24.7681,72.0624,33.8774,23.477,11.1387,92.3616,25.538,5.9873,16.8356,135.608,329.543,67.6213,1.1182,893.964,191.634,7073.21,12.8417,-4.1136,6.7216,81.8296,67.0755,255.924,transport,5.771,6.1955,5.1343,89.9781,1.8136,19.4685,24.0344,18.4826,23.9609,6.1282,72.3609,27.5729,6.3759,7.864,12.8314,288.334,33.083,0.0355,2.2745,15.4036,4156.9,2.5311,0.2297,1.4739,59.2114,1.3433,3.6335,0.449535,0.11689,0.158387,0.106459,0.139168
1506,tha,1997,communcation,8.3762,4.5093,4.1789,55.3634,10.4273,16.8646,46.8108,19.705,8.8223,4.7964,37.2272,7.4633,3.9478,11.2372,51.4538,199.818,41.1263,1.1473,122.007,148.54,132.039,1243.06,-13.965,21.3901,97.0298,36.0598,253.533,communcation,2.3291,1.248,2.2583,30.4443,0.5169,13.2561,15.6124,10.7505,9.0041,2.6389,29.1658,8.058,4.2041,5.249,4.8686,174.831,20.1206,0.0364,0.3104,11.9397,77.5987,245.005,0.78,4.6903,70.2102,0.7222,3.5996,0.82995,0.003823,0.009563,0.016308,0.005795
1507,tha,1997,finance,100.947,46.1296,45.8238,556.979,77.4267,150.762,353.021,125.66,100.617,36.9025,378.5,61.3626,39.3744,83.1164,391.792,875.794,340.253,9.8211,1010.15,1498.41,543.595,32.9943,-446.425,60.1427,123.357,196.952,1371.65,finance,28.0695,12.7666,24.7631,306.282,3.8383,118.504,117.74,68.5564,102.69,20.3028,296.537,66.2522,41.9299,38.8244,37.0717,766.278,166.465,0.3117,2.5701,120.443,319.469,6.5031,24.9331,13.1877,89.2604,3.9444,19.474,0.739427,0.000423,0.000942,0.061297,0.00062
1508,tha,1997,insurance,7.2717,8.55,4.323,61.4716,9.6128,17.3615,61.1091,14.8428,12.2863,3.9888,46.3574,8.4071,4.2819,9.1417,36.6402,104.007,39.5779,1.0149,108.459,90.3803,124.974,3.3639,-3.0913,569.177,17.8792,19.7445,71.1376,insurance,2.022,2.3663,2.3361,33.8032,0.4765,13.6467,20.3812,8.0978,12.5395,2.1945,36.3189,9.077,4.5598,4.2702,3.4669,91.0015,19.3631,0.0322,0.2759,7.2648,73.447,0.663,0.1727,124.805,12.9373,0.3954,1.01,0.700846,0.002442,0.005159,0.010595,0.003535
1509,tha,1997,obsict,93.9532,12.9949,30.149,237.445,50.8693,37.8215,104.012,51.1043,13.4732,7.6343,116.234,15.6206,6.3532,17.4647,122.34,340.092,70.5452,2.8797,378.114,364.238,325.249,16.2114,-12.4611,22.1407,3333.24,124.382,563.341,obsict,26.1248,3.5964,16.2924,130.571,2.5218,29.7289,34.6901,27.881,13.7508,4.2002,91.0638,16.8653,6.7655,8.1579,11.5759,297.564,34.5135,0.0914,0.962,29.2776,191.148,3.1952,0.696,4.8549,2411.91,2.491,7.9981,0.55515,0.055226,0.092413,0.074169,0.071777
1510,tha,1997,oconsumer,5.4421,2.038,1.1717,20.2944,4.7272,7.6433,17.6483,10.3124,2.5821,0.9176,11.9998,2.1878,0.6968,3.4865,15.3152,41.5665,9.1326,0.263,29.6781,32.9741,38.1373,3.043,-1.0736,4.8717,22.2686,790.757,167.472,oconsumer,1.5133,0.564,0.6332,11.1599,0.2343,6.0078,5.8861,5.6262,2.6354,0.5048,9.4013,2.3621,0.742,1.6286,1.4491,36.3687,4.468,0.0083,0.0755,2.6505,22.4132,0.5998,0.06,1.0682,16.1134,15.8366,2.3777,0.161968,0.00133,0.000649,0.003316,0.001643
1511,tha,1997,oservices,1.42,0.3478,0.8347,6.456,0.8957,1.0676,2.9603,1.3497,0.4791,0.3206,5.7662,0.4645,0.2102,0.4675,12.4664,13.2774,2.2843,0.0946,13.1943,25.0549,10.192,0.513,-0.5196,0.7112,18.6305,6.0005,17531.7,oservices,0.3948,0.0963,0.4511,3.5502,0.0444,0.8392,0.9873,0.7364,0.489,0.1764,4.5175,0.5015,0.2239,0.2184,1.1796,11.6171,1.1176,0.003,0.0336,2.0139,5.9898,0.1011,0.029,0.1559,13.4809,0.1202,248.908,0.717393,0.004824,0.010432,0.006484,0.006959
1674,ven,1997,primaryagr,2701.5,3.3138,14.3324,1678.01,173.3,63.3027,77.4107,56.4389,8.6069,3.4061,28.6411,1.7577,3.1062,3.2413,9.0658,9.1677,0.5317,0.2247,15.6299,261.23,16.872,0.2338,0.1469,0.5742,0.548,10.4365,49.867,primaryagr,126.378,1.9365,13.6431,81.6967,7.633,9.6156,1.029,2.2672,0.1748,0.5298,8.1235,1.3472,3.1236,0.7224,1.2824,1.4803,0.2009,0.0021,0.0175,2.4212,2.5141,0.0066,0.0031,0.0086,0.0507,0.3019,1.245,0.671746,0.007085,0.00922,0.01323,0.007482
